fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2015-12-31,USD,3969012000,4646552000,677540000,2290751000,3299254000,576103000,None,3090875000,94957000,-144522000,176364000,144522000,4345619000,259071000,26000000,101437000,900187000,190398000,144522000,1624350000,678133000,1044709000,1146146000,709789000,BX
2014-12-31,USD,6833350000,7484728000,651378000,3154371000,6181972000,549463000,None,651378000,69809000,-121524000,None,121524000,6880116000,357854000,28600000,101915000,1875762000,291173000,121524000,3695553000,1560258000,1997286000,2099201000,1584589000,BX
2013-12-31,USD,6040955000,6613168000,572213000,3257667000,2174215000,474442000,None,-120122000,64511000,-107973000,None,107973000,38980000,402133000,33600000,95671000,1426844000,255642000,107973000,2892919000,1172498000,1534817000,1630488000,1171202000,BX
2012-12-31,USD,3329429000,4019441000,690012000,2605244000,68748000,548738000,None,769451000,40354000,-72870000,None,72870000,3617176000,256145000,34000000,139174000,403621000,185023000,72870000,829882000,218810000,476491000,615665000,218598000,BX
2011-12-31,USD,2478672000,3252576000,773904000,2738425000,-909397000,566313000,None,831728000,37427000,-57824000,None,57824000,2994410000,212751000,31600000,207591000,177408000,345711000,57824000,-132753000,-170647000,235232000,442823000,-168303000,BX
2010-12-31,USD,2490933000,3119342000,628409000,3610189000,-1653057000,466358000,None,669638000,36218000,-41229000,None,41229000,2522582000,501994000,24000000,162051000,-285359000,84669000,41229000,-607323000,-368146000,-244130000,-82079000,-370028000,BX
2023-12-31,USD,16892000000,96194000000,41798000000,None,-2663000000,11335000000,None,19555000000,None,8230000000,50281000000,42051000000,45913000000,None,None,4256000000,11670000000,2583000000,42051000000,9230000000,8919000000,53721000000,57977000000,9087000000,MS
2022-12-31,USD,19314000000,65936000000,39299000000,26123000000,343000000,11072000000,None,18971000000,None,9327000000,21595000000,12268000000,44341000000,None,None,3998000000,13939000000,2910000000,12268000000,11179000000,7878000000,26207000000,30205000000,11029000000,MS
2021-12-31,USD,25295000000,61121000000,40035000000,4707000000,7076000000,10505000000,None,18219000000,None,8045000000,9411000000,1366000000,51710000000,None,None,4216000000,19582000000,4548000000,1366000000,15120000000,13894000000,20948000000,25164000000,15034000000,MS
2020-12-31,USD,18156000000,52606000000,34339000000,6778000000,3147000000,7975000000,None,15009000000,None,6313000000,10162000000,3849000000,42444000000,None,None,3769000000,14235000000,3239000000,3849000000,11179000000,11822000000,18084000000,21853000000,10996000000,MS
2019-12-31,USD,14986000000,53942000000,30238000000,14897000000,2057000000,7572000000,None,12929000000,None,4694000000,17098000000,12404000000,36844000000,None,None,2643000000,11106000000,2064000000,12404000000,9237000000,8546000000,23510000000,26153000000,9042000000,MS
